"","X","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"1",1,"Abbotsford","68 Studley St",2,"h",1076960.67115367,"SS","Jellis","3/09/2016",2.5,3067,2,1,1,126,146.861538586252,1970,"Yarra",-37.8014,144.9958
"2",2,"Abbotsford","85 Turner St",2,"h",1480000,"S","Biggin","3/12/2016",2.5,3067,2,1,1,202,146.861538586252,1970,"Yarra",-37.7996,144.9984
"3",3,"Abbotsford","25 Bloomburg St",2,"h",1035000,"S","Biggin","4/02/2016",2.5,3067,2,1,0,156,79,1900,"Yarra",-37.8079,144.9934
"4",5,"Abbotsford","5 Charles St",3,"h",1465000,"SP","Biggin","4/03/2017",2.5,3067,3,2,0,134,150,1900,"Yarra",-37.8093,144.9944
"5",7,"Abbotsford","55a Park St",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra",-37.8072,144.9941
"6",8,"Abbotsford","16 Maugie St",4,"h",1076960.67115367,"SN","Nelson","6/08/2016",2.5,3067,3,2,2,400,220,2006,"Yarra",-37.7965,144.9965
"7",9,"Abbotsford","53 Turner St",2,"h",1076960.67115367,"S","Biggin","6/08/2016",2.5,3067,4,1,2,201,146.861538586252,1900,"Yarra",-37.7995,144.9974
"8",10,"Abbotsford","99 Turner St",2,"h",1076960.67115367,"S","Collins","6/08/2016",2.5,3067,3,2,1,202,146.861538586252,1900,"Yarra",-37.7996,144.9989
"9",11,"Abbotsford","129 Charles St",2,"h",941000,"S","Jellis","7/05/2016",2.5,3067,2,1,0,181,146.861538586252,1970,"Yarra",-37.8041,144.9953
"10",12,"Abbotsford","124 Yarra St",3,"h",1876000,"S","Nelson","7/05/2016",2.5,3067,4,2,0,245,210,1910,"Yarra",-37.8024,144.9993
"11",15,"Abbotsford","98 Charles St",2,"h",1636000,"S","Nelson","8/10/2016",2.5,3067,2,1,2,256,107,1890,"Yarra",-37.806,144.9954
"12",16,"Abbotsford","217 Langridge St",3,"h",1e+06,"S","Jellis","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"13",19,"Abbotsford","10 Valiant St",2,"h",1097000,"S","Biggin","8/10/2016",2.5,3067,3,1,2,220,75,1900,"Yarra",-37.801,144.9989
"14",20,"Abbotsford","403/609 Victoria St",2,"u",542000,"S","Dingle","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"15",21,"Abbotsford","2 Rich St",2,"h",1076960.67115367,"SP","Biggin","10/12/2016",2.5,3067,2,1,1,176,80,1925,"Yarra",-37.7998,144.9972
"16",22,"Abbotsford","25/84 Trenerry Cr",2,"u",760000,"SP","Biggin","10/12/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"17",23,"Abbotsford","106/119 Turner St",1,"u",481000,"SP","Purplebricks","10/12/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"18",25,"Abbotsford","40 Nicholson St",3,"h",1350000,"VB","Nelson","12/11/2016",2.5,3067,3,2,2,214,190,2005,"Yarra",-37.8085,144.9964
"19",27,"Abbotsford","22 Park St",4,"h",1985000,"S","Biggin","12/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.8084,144.9942
"20",28,"Abbotsford","13/84 Trenerry Cr",1,"u",5e+05,"S","Biggin","12/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"21",29,"Abbotsford","45 William St",2,"h",1172500,"S","Biggin","13/08/2016",2.5,3067,2,1,1,195,146.861538586252,1970,"Yarra",-37.8084,144.9973
"22",31,"Abbotsford","16 William St",2,"h",1310000,"S","Jellis","15/10/2016",2.5,3067,2,1,2,238,97,1890,"Yarra",-37.809,144.9976
"23",35,"Abbotsford","16b Mollison St",2,"h",1076960.67115367,"PI","Biggin","16/07/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"24",36,"Abbotsford","78 Yarra St",3,"h",1176500,"S","LITTLE","16/07/2016",2.5,3067,2,1,1,138,105,1890,"Yarra",-37.8021,144.9965
"25",37,"Abbotsford","196 Nicholson St",3,"h",955000,"S","Collins","17/09/2016",2.5,3067,3,1,0,183,146.861538586252,1970,"Yarra",-37.8022,144.9975
"26",38,"Abbotsford","42 Valiant St",2,"h",890000,"S","Biggin","17/09/2016",2.5,3067,2,1,1,150,73,1985,"Yarra",-37.8011,145.0004
"27",39,"Abbotsford","3/72 Charles St",4,"h",1330000,"PI","Kay","18/03/2017",2.5,3067,4,2,2,780,135,1900,"Yarra",-37.8073,144.9952
"28",40,"Abbotsford","1/1 Mayfield St",3,"h",1076960.67115367,"SP","Nelson","18/03/2017",2.5,3067,3,2,1,119,167,2005,"Yarra",-37.8082,144.9999
"29",44,"Abbotsford","52a William St",2,"h",1100000,"PI","Biggin","18/06/2016",2.5,3067,2,2,1,124,135,2013,"Yarra",-37.8079,144.9977
"30",45,"Abbotsford","49 Park St",2,"h",1315000,"S","Marshall","19/11/2016",2.5,3067,2,1,0,147,85,1900,"Yarra",-37.808,144.994
"31",46,"Abbotsford","65/80 Trenerry Cr",1,"u",480000,"S","Biggin","19/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"32",47,"Abbotsford","119/52 Nicholson St",1,"u",423500,"S","hockingstuart","22/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"33",48,"Abbotsford","8b Park St",4,"h",1076960.67115367,"PI","Biggin","22/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.8092,144.9941
"34",50,"Abbotsford","48 Abbotsford St",3,"h",1447500,"PI","Nelson","22/08/2016",2.5,3067,3,3,1,166,174,2012,"Yarra",-37.8017,145.0001
"35",53,"Abbotsford","49/84 Trenerry Cr",2,"h",7e+05,"S","Biggin","23/04/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"36",57,"Abbotsford","60 Stafford St",3,"h",1290000,"S","Biggin","25/02/2017",2.5,3067,3,1,1,168,124,1950,"Yarra",-37.8007,144.9958
"37",59,"Abbotsford","47 Studley St",2,"h",1180000,"S","Jellis","27/11/2016",2.5,3067,2,1,0,162,91,1900,"Yarra",-37.8016,144.9956
"38",60,"Abbotsford","45 Yarra St",3,"h",1195000,"SP","Jellis","27/11/2016",2.5,3067,3,2,1,120,128,1998,"Yarra",-37.8022,144.9954
"39",61,"Abbotsford","4/328 Johnston St",2,"u",1076960.67115367,"PI","Biggin","28/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"40",62,"Abbotsford","200 Nicholson St",2,"h",1012500,"S","Nelson","28/05/2016",2.5,3067,2,1,0,182,82,1900,"Yarra",-37.8021,144.9976
"41",63,"Abbotsford","82/84 Trenerry Cr",2,"u",970000,"SP","Biggin","28/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"42",64,"Abbotsford","27 Charles St",2,"h",1030000,"S","Biggin","30/07/2016",2.5,3067,2,1,1,172,81,1930,"Yarra",-37.8086,144.9946
