"","X","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"1",1,"Abbotsford","68 Studley St",2,"h",1076960.67115367,"SS","Jellis","3/09/2016",2.5,3067,2,1,1,126,146.861538586252,1970,"Yarra",-37.8014,144.9958
"2",2,"Abbotsford","85 Turner St",2,"h",1480000,"S","Biggin","3/12/2016",2.5,3067,2,1,1,202,146.861538586252,1970,"Yarra",-37.7996,144.9984
"3",3,"Abbotsford","25 Bloomburg St",2,"h",1035000,"S","Biggin","4/02/2016",2.5,3067,2,1,0,156,79,1900,"Yarra",-37.8079,144.9934
"4",5,"Abbotsford","5 Charles St",3,"h",1465000,"SP","Biggin","4/03/2017",2.5,3067,3,2,0,134,150,1900,"Yarra",-37.8093,144.9944
"5",7,"Abbotsford","55a Park St",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra",-37.8072,144.9941
"6",8,"Abbotsford","16 Maugie St",4,"h",1076960.67115367,"SN","Nelson","6/08/2016",2.5,3067,3,2,2,400,220,2006,"Yarra",-37.7965,144.9965
"7",9,"Abbotsford","53 Turner St",2,"h",1076960.67115367,"S","Biggin","6/08/2016",2.5,3067,4,1,2,201,146.861538586252,1900,"Yarra",-37.7995,144.9974
"8",10,"Abbotsford","99 Turner St",2,"h",1076960.67115367,"S","Collins","6/08/2016",2.5,3067,3,2,1,202,146.861538586252,1900,"Yarra",-37.7996,144.9989
"9",11,"Abbotsford","129 Charles St",2,"h",941000,"S","Jellis","7/05/2016",2.5,3067,2,1,0,181,146.861538586252,1970,"Yarra",-37.8041,144.9953
"10",12,"Abbotsford","124 Yarra St",3,"h",1876000,"S","Nelson","7/05/2016",2.5,3067,4,2,0,245,210,1910,"Yarra",-37.8024,144.9993
"11",15,"Abbotsford","98 Charles St",2,"h",1636000,"S","Nelson","8/10/2016",2.5,3067,2,1,2,256,107,1890,"Yarra",-37.806,144.9954
"12",16,"Abbotsford","217 Langridge St",3,"h",1e+06,"S","Jellis","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"13",17,"Abbotsford","18a Mollison St",2,"t",745000,"S","Jellis","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"14",19,"Abbotsford","10 Valiant St",2,"h",1097000,"S","Biggin","8/10/2016",2.5,3067,3,1,2,220,75,1900,"Yarra",-37.801,144.9989
"15",21,"Abbotsford","2 Rich St",2,"h",1076960.67115367,"SP","Biggin","10/12/2016",2.5,3067,2,1,1,176,80,1925,"Yarra",-37.7998,144.9972
"16",25,"Abbotsford","40 Nicholson St",3,"h",1350000,"VB","Nelson","12/11/2016",2.5,3067,3,2,2,214,190,2005,"Yarra",-37.8085,144.9964
"17",27,"Abbotsford","22 Park St",4,"h",1985000,"S","Biggin","12/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.8084,144.9942
"18",29,"Abbotsford","45 William St",2,"h",1172500,"S","Biggin","13/08/2016",2.5,3067,2,1,1,195,146.861538586252,1970,"Yarra",-37.8084,144.9973
"19",31,"Abbotsford","16 William St",2,"h",1310000,"S","Jellis","15/10/2016",2.5,3067,2,1,2,238,97,1890,"Yarra",-37.809,144.9976
"20",34,"Abbotsford","250 Langridge St",2,"t",847000,"S","Jellis","16/07/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"21",35,"Abbotsford","16b Mollison St",2,"h",1076960.67115367,"PI","Biggin","16/07/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"22",36,"Abbotsford","78 Yarra St",3,"h",1176500,"S","LITTLE","16/07/2016",2.5,3067,2,1,1,138,105,1890,"Yarra",-37.8021,144.9965
"23",37,"Abbotsford","196 Nicholson St",3,"h",955000,"S","Collins","17/09/2016",2.5,3067,3,1,0,183,146.861538586252,1970,"Yarra",-37.8022,144.9975
"24",38,"Abbotsford","42 Valiant St",2,"h",890000,"S","Biggin","17/09/2016",2.5,3067,2,1,1,150,73,1985,"Yarra",-37.8011,145.0004
"25",39,"Abbotsford","3/72 Charles St",4,"h",1330000,"PI","Kay","18/03/2017",2.5,3067,4,2,2,780,135,1900,"Yarra",-37.8073,144.9952
"26",40,"Abbotsford","1/1 Mayfield St",3,"h",1076960.67115367,"SP","Nelson","18/03/2017",2.5,3067,3,2,1,119,167,2005,"Yarra",-37.8082,144.9999
"27",44,"Abbotsford","52a William St",2,"h",1100000,"PI","Biggin","18/06/2016",2.5,3067,2,2,1,124,135,2013,"Yarra",-37.8079,144.9977
"28",45,"Abbotsford","49 Park St",2,"h",1315000,"S","Marshall","19/11/2016",2.5,3067,2,1,0,147,85,1900,"Yarra",-37.808,144.994
"29",48,"Abbotsford","8b Park St",4,"h",1076960.67115367,"PI","Biggin","22/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.8092,144.9941
"30",50,"Abbotsford","48 Abbotsford St",3,"h",1447500,"PI","Nelson","22/08/2016",2.5,3067,3,3,1,166,174,2012,"Yarra",-37.8017,145.0001
"31",53,"Abbotsford","49/84 Trenerry Cr",2,"h",7e+05,"S","Biggin","23/04/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"32",55,"Abbotsford","17/1 Abbot St",3,"t",962000,"SP","Jellis","25/02/2017",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.7972,144.9969
"33",57,"Abbotsford","60 Stafford St",3,"h",1290000,"S","Biggin","25/02/2017",2.5,3067,3,1,1,168,124,1950,"Yarra",-37.8007,144.9958
"34",59,"Abbotsford","47 Studley St",2,"h",1180000,"S","Jellis","27/11/2016",2.5,3067,2,1,0,162,91,1900,"Yarra",-37.8016,144.9956
"35",60,"Abbotsford","45 Yarra St",3,"h",1195000,"SP","Jellis","27/11/2016",2.5,3067,3,2,1,120,128,1998,"Yarra",-37.8022,144.9954
"36",62,"Abbotsford","200 Nicholson St",2,"h",1012500,"S","Nelson","28/05/2016",2.5,3067,2,1,0,182,82,1900,"Yarra",-37.8021,144.9976
"37",64,"Abbotsford","27 Charles St",2,"h",1030000,"S","Biggin","30/07/2016",2.5,3067,2,1,1,172,81,1930,"Yarra",-37.8086,144.9946
"38",65,"Abbotsford","22 Park St",4,"h",1076960.67115367,"W","Biggin","30/07/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.8084,144.9942
"39",66,"Abbotsford","40/80 Trenerry Cr",3,"h",927000,"S","Biggin","30/07/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"40",67,"Airport West","154 Halsey Rd",3,"t",840000,"PI","Nelson","3/09/2016",13.5,3042,3,2,1,303,225,2016,"Moonee Valley",-37.718,144.878
"41",70,"Airport West","5 Harrington Rd",3,"h",1076960.67115367,"S","Brad","4/03/2017",13.5,3042,3,1,1,580,114,1960,"Moonee Valley",-37.7235,144.8736
"42",71,"Airport West","23 Hart St",2,"h",603000,"S","Nelson","4/03/2017",13.5,3042,2,1,1,272,84,1950,"Moonee Valley",-37.7294,144.888
